genome,fitness,behavior_descriptor
"[ 0.30461533 -0.62055382 -0.61244925  0.5791672  -0.17770081  0.41996256
  0.59111244]",0,[ 0.305 -0.621 -0.612]
"[ 0.18165404  0.07477779 -0.54413981  0.93680856 -0.22233691 -0.58260447
 -0.90826895]",0,[ 0.182  0.075 -0.544]
"[-0.79611027 -0.21789042  0.95647561 -0.07500751  0.34389839 -0.63026136
  0.71487485]",0,[-0.796 -0.218  0.956]
"[ 0.34023257  0.93247024  0.47050967  0.59990381  0.5738501   0.07897149
 -0.88543428]",0,[0.34  0.932 0.471]
"[ 0.00337164 -0.51586751  0.36432297  0.59916933  0.50157514  0.47110157
 -0.8566424 ]",0,[ 0.003 -0.516  0.364]
"[ 0.12131833  0.11423873  0.45496273 -0.45497262 -0.57534602 -0.72757474
  0.90428962]",0,[0.121 0.114 0.455]
"[-0.70388398 -0.79741024 -0.13584758 -0.96924445  0.96884751  0.54213065
 -0.82535654]",0,[-0.704 -0.797 -0.136]
"[-0.53049597 -0.63172122 -0.00435365  0.28938791 -0.5279904  -0.68743197
  0.11931394]",0,[-0.53  -0.632 -0.004]
"[-0.49902585  0.99716084  0.91702951 -0.04424707 -0.80154695  0.62340297
  0.79488175]",0,[-0.499  0.997  0.917]
"[-0.18329347 -0.72025664 -0.06329487  0.63656979 -0.88793347  0.77929739
  0.95225416]",0,[-0.183 -0.72  -0.063]
"[-0.03890548  0.31836534 -0.11493212 -0.03347332  0.87622795  0.30002973
  0.88808493]",0,[-0.039  0.318 -0.115]
"[-0.93045175 -0.90344789 -0.14251691 -0.52282212 -0.90211064 -0.20681933
 -0.07167539]",0,[-0.93  -0.903 -0.143]
"[-0.97374392 -0.70534451  0.10209926 -0.81984404  0.27277852  0.25690873
 -0.91304254]",0,[-0.974 -0.705  0.102]
"[ 0.18722968  0.11932013 -0.1083272   0.10388722 -0.31673063 -0.78375225
 -0.90857848]",0,[ 0.187  0.119 -0.108]
"[-0.78687255  0.3294186  -0.91367597  0.90343461 -0.34730282  0.32146898
 -0.41328707]",0,[-0.787  0.329 -0.914]
